state,office_type,BPI,weighted_polls,weighted_sd,weighted_var,weighted_third_party,weighted_undecided,number_of_polls,last_30_polls,percent_polls,lean
Alabama,NA,0.4316016372334272,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,NA,0.46647394285050586,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,Senate,0.4568977345741798,0.5318360072901822,0.01991663746010782,4.043653385998695e-4,2.2103145082794864,7.3581807696406605,12,7,0.7475474613162473,0.512917650098452
Arizona,Governor,0.4568977345741798,0.49953569424766786,0.01963647416377138,3.942761101801848e-4,0.1457851152220715,7.074220570907911,9,6,0.7274674406987297,0.48791546197446783
Arkansas,Senate,0.4088360289692869,0.41216216216216217,0.01980175718734845,3.921095877067062e-4,5,21,1,1,0.31556140108872355,0.4098856282198383
Arkansas,Governor,0.4088360289692869,0.384079499748091,0.01798541132103801,3.453446428701387e-4,1.865434685091101,5.54996760905879,4,3,0.6061561776412547,0.3938297058449028
California,Governor,0.6689012509155934,0.651685393258427,0.01551161086154731,2.4061007152007249e-4,0,11,1,1,0.31556140108872355,0.6634685907523539
Colorado,Senate,0.5857137293815358,0.5428883275169832,0.01743216675743734,3.074005724216803e-4,2.6081664298486973,10.307681573967958,8,3,0.6264244320982421,0.5588868513391545
Colorado,Governor,0.5857137293815358,0.5623660624136818,0.01594851675632623,2.5500822628759005e-4,1.2690053062018076,9.246979168384266,6,2,0.5380726880850821,0.5731509874556273
Connecticut,Senate,0.6282949465527008,0.5827831349565937,0.01352258044271656,1.900555741073941e-4,0,7.568242092457558,2,2,0.5010112317245373,0.6054930177669202
Connecticut,Governor,0.6282949465527008,0.5774565456355192,0.01544136353095034,2.4812986175761273e-4,0,6.0728269286548,6,3,0.6166835916310046,0.5969437388823162
Delaware,NA,0.6420890670572216,NA,NA,NA,NA,NA,NA,NA,NA,NA
District Of Columbia,NA,0.9903888277900252,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,Senate,0.5283851702532756,0.482990143931696,0.01998430459078833,4.177542719589645e-4,0.7296959783017456,7.971011280043399,21,6,0.7440258996494294,0.4946100949547528
Florida,Governor,0.5283851702532756,0.464702228604127,0.02092610801962944,4.5651939401519375e-4,0.7997277762525824,6.110094274923931,9,7,0.7440258996494296,0.4810034123004457
Georgia,Senate,0.462749443845978,0.5109326780827184,0.01700536942754239,2.9585256358552123e-4,2.10620506014217,5.004969000600132,22,8,0.7680781565806555,0.49975793357662746
Georgia,Governor,0.462749443845978,0.4734448316038486,0.01726187420714797,3.049317785399092e-4,1.0814134544220562,4.005073020975157,21,10,0.7828560422976704,0.4711223927769435
Hawaii,NA,0.7347535558567665,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,NA,0.3866001741541773,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illinois,Senate,0.6222967748777382,0.560880829015544,0.01625116050438337,2.6410021773922994e-4,2.4000000000000057,20.40000000000001,1,0,0.02735187216062337,0.6206169337778916
Illinois,Governor,0.6222967748777382,0.5635027227557651,0.0157379496368143,2.4786177232616476e-4,2.3034394151728916,14.594486991445567,3,1,0.3523123552825096,0.6015829038980431
Indiana,Senate,0.46729588147149,0.4827586206896552,0.01166025119612212,1.3596145795666747e-4,0,13,1,0,0.02735187216062337,0.4677188163378383
Iowa,Senate,0.4979328629059463,0.47572681049578575,0.01595879105833806,2.582445034637983e-4,0,8.114116696676632,10,1,0.45605141616399325,0.4878057612568807
Iowa,Governor,0.4979328629059463,0.4093783325474538,0.02148507575696452,4.6255576087967314e-4,2.43494730563969,9.539057406410606,4,0,0.10807268808508205,0.488362536767992
Kansas,Senate,0.47558817974280304,0.4116074260240027,0.02075394603717583,4.475372403812362e-4,0,17.721837264714488,2,2,0.5010112317245373,0.4435331035154826
Kansas,Governor,0.47558817974280304,0.5287519663772352,0.02015847174487969,4.249569373441642e-4,1.9015065087639376,8.09355007735492,5,2,0.5294514636526828,0.5037358243897221
Kentucky,Senate,0.4277143205564536,0.4148936170212766,0.02032740121436669,4.132032401298363e-4,0,6,1,0,0.02735187216062337,0.42736365031235013
Louisiana,NA,0.2512832432697859,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine,Governor,0.5181009725168774,0.566619439135916,0.01754006259587003,3.119605408188881e-4,0.8900125690364936,7.387611729226483,7,3,0.6216471274828319,0.5482623379204744
Maryland,Senate,0.6390385521256524,0.43023255813953487,0.02387625579584203,5.700755908284805e-4,0,14,1,0,0.02735187216062337,0.6333273172717723
Massachusetts,Governor,0.6773079964259906,0.6380181329124626,0.02218280573066935,4.961409985938128e-4,2.6984472042518295,16.26165890230308,2,2,0.5010112317245373,0.657623333512789
Michigan,Governor,0.5640294202687592,0.5683008260489076,0.01983285798571571,3.97163280257019e-4,0.17021318115982512,8.722474194328278,10,3,0.6354581502075689,0.5667437198845983
Minnesota,Governor,0.58957710694433,0.5496770569158467,0.01895905386838326,3.673075662119311e-4,1.412035175046817,9.253282076600478,6,3,0.6166835916310046,0.5649714007865081
Mississippi,NA,0.4347996667496539,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,Senate,0.477901904384277,0.43508339858679457,0.01993890777549891,4.0141027303482754e-4,0.46295043300194816,14.685247834990044,3,1,0.3523123552825096,0.46281641575708815
Montana,NA,0.4909666822574018,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,NA,0.41508125424326703,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,Senate,0.5442001275501551,0.4899044886755371,0.01887649477046867,3.673034235685196e-4,1.8009885921703772,9.081350092743731,14,4,0.6891591214175161,0.5067817927665206
Nevada,Governor,0.5442001275501551,0.49534053065367345,0.01740290207691006,3.07407473205584e-4,3.9255668923858624,7.770403050755249,10,3,0.6354581502075689,0.5131518984864294
New Hampshire,Senate,0.5459367941066225,0.5573399774068963,0.0194030002585774,3.796705057299629e-4,1.7644609543295262,6.979907609843172,8,3,0.6264244320982421,0.5530800267296087
New Hampshire,Governor,0.5459367941066225,0.4097153514225575,0.01901668073537283,3.675900058961821e-4,0.39802349102267987,9.657569625233837,7,3,0.6216471274828319,0.4612551255605063
New Jersey,Governor,0.6184960733826445,0.5405089196354441,0.01960174921025839,3.9472158598502624e-4,0,6.675182744430527,15,0,0.3523123552825096,0.5910202355641891
New Mexico,Governor,0.6030657265554552,0.5470031675133038,0.02047134980173387,4.293047978422503e-4,3.044488341856842,9.215351962326109,7,2,0.5463050451042804,0.5724384677092713
New York,Senate,0.6963259181199061,0.6290087066566817,0.01738196539937609,3.057131368511716e-4,0,13.68385939810653,4,1,0.3694159455390832,0.6714578667961647
New York,Governor,0.6963259181199061,0.5743259222955978,0.01824982551816021,3.408324156301856e-4,0,10.100448041010306,9,4,0.6752451628607699,0.6139460110705077
North Carolina,Senate,0.5387147217899974,0.4954399587408976,0.01858053607900857,3.503040184911663e-4,1.4947814730572215,6.789696314483419,13,6,0.733479476365989,0.5069735712488814
North Carolina,Governor,0.5387147217899974,0.4666666666666667,0.02351778943168525,5.530864197530864e-4,0,10,1,0,0.02735187216062337,0.5367440725968425
North Dakota,NA,0.31163399668569153,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,Senate,0.49673526529331347,0.5049498221221919,0.01828746927042111,3.401559711707208e-4,0,9.976515734098127,14,8,0.7615314670762359,0.5029909088065904
Ohio,Governor,0.49673526529331347,0.41388496289451304,0.01817834881185635,3.362478152680555e-4,0.00450662976628037,11.530733367760904,12,8,0.7597481085488315,0.4337899047531262
Oklahoma,Governor,0.37237233753007903,0.4635760469549818,0.0236920592164394,5.676608173893977e-4,3.328651798071929,7.24543301385077,9,3,0.6310251053540308,0.42992416787860666
Oregon,Governor,0.6191142072264036,0.5022666107770415,0.03030030538303276,9.216713314037352e-4,21.713873178188983,14.222386191422718,3,0,0.08151620471728219,0.6095892346335151
Pennsylvania,Senate,0.571296731109296,0.5398437638891022,0.01916946695665797,3.853030102661088e-4,0.9710041907848952,7.964863083875101,17,8,0.76409182099546,0.5472637761103076
Pennsylvania,Governor,0.571296731109296,0.5591518877744582,0.01896798668024856,3.7682592988645225e-4,1.1207158776373087,7.085054636765045,15,7,0.7508642200388959,0.5621776027911884
Rhode Island,NA,0.6788219656618035,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,Senate,0.458465993451717,0.40657953563679267,0.02102155591585578,4.419062137101989e-4,6.818516353974855e-4,9.000545481308318,2,1,0.33436819300844944,0.4411168123105316
South Carolina,Governor,0.458465993451717,0.4635123161761458,0.01924422878188512,3.750017834734528e-4,1.816963122355138,5.279369043638447,3,3,0.6005697082211832,0.46149666201791717
South Dakota,Senate,0.4057710580116461,0.417702142926362,0.02774332449810629,7.696932883249289e-4,7.998794317135522,13.000602841432238,2,1,0.33436819300844944,0.40976043331521
Tennessee,NA,0.42211231366909935,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,Governor,0.4950571843219447,0.4587893064880864,0.01679127583861967,2.864374968286501e-4,2.535695279510658,7.8078593298591406,20,5,0.7258758957509249,0.46873120601230767
Utah,Senate,0.3894317610895463,0.20691415678222075,0.0228333644446457,5.319318399288502e-4,22.2245790720625,19.475982165187503,2,0,0.054567889980552155,0.37947216053819016
Vermont,Senate,0.6046284146583023,0.5351171180311524,0.01580877569669975,2.499331673027132e-4,0,7.10321525627695,3,1,0.3523123552825096,0.58013872602485
Vermont,Governor,0.6046284146583023,0.1867500129180384,0.01351853725076114,1.8531426412821256e-4,0.3990019564787406,17.209226516271027,2,1,0.33436819300844944,0.4649031685711513
Virginia,Governor,0.5953008900445266,0.503078066998368,0.01941534933487532,3.86348535460906e-4,1.0044273948293014,5.811378601402107,40,0,0.6061561776412547,0.5393994561355813
Washington,Senate,0.6200985731655554,0.5373258452386581,0.01978624684470711,4.131467862039003e-4,0,8.515118533584543,13,4,0.6865408104164445,0.5632717174542434
West Virginia,NA,0.40197753776141953,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,Senate,0.5501484856262248,0.4918959244719916,0.01762936387782114,3.1328209854455735e-4,0,5.315768522908868,9,5,0.7055392303228785,0.5090490184651307
Wisconsin,Governor,0.5501484856262248,0.5079633222904336,0.01787364924237427,3.2293002902338664e-4,0.8052738686141487,5.747583559420558,8,4,0.6721967923341573,0.5217917541478134
Wyoming,NA,0.3241131087983043,NA,NA,NA,NA,NA,NA,NA,NA,NA
